raceId,driverId,start_pos,end_pos,pit_sec,pit_time_pct,positions_gained
Canada_1994,COU,5,5.0,36.382,0.9037436094772141,0.0
Canada_1994,BAR,6,7.0,34.881,0.9426335254149825,-1.0
Canada_1994,HAK,7,,34.007,0.9668597641662012,
Canada_1994,IRV,8,,33.688,0.9760151982901923,
Canada_1994,MOR,11,,35.374,0.9294962401764008,
Canada_1994,BLU,13,10.0,32.88,1.0,3.0
Canada_1994,DEC,14,,37.358,0.8801327694202047,
Canada_1994,MAR,15,9.0,35.359,0.9298905512033712,6.0
Canada_1994,HER,17,8.0,33.429,0.983577133626492,9.0
Canada_1994,ALB,18,11.0,35.626,0.9229214618537025,7.0
Canada_1994,PAN,19,12.0,34.494,0.9532092537832667,7.0
Canada_1994,JAR,20,6.0,36.501,0.9007972384318239,14.0
Canada_1994,COM,21,,34.691,0.9477962583955493,
Canada_1994,BER,22,4.0,35.19133333333333,0.9343209502339592,18.0
Canada_1994,BER,22,13.0,35.19133333333333,0.9343209502339592,9.0
Canada_1994,BER,22,,35.19133333333333,0.9343209502339592,
Canada_1994,ZAN,23,15.0,34.735,0.9465956527997698,8.0
Canada_1994,BER,24,4.0,35.19133333333333,0.9343209502339592,20.0
Canada_1994,BER,24,13.0,35.19133333333333,0.9343209502339592,11.0
Canada_1994,BER,24,,35.19133333333333,0.9343209502339592,
Canada_1994,BRA,25,14.0,38.723,0.8491077654107378,11.0
France_1994,HIL,1,2.0,38.941,0.6546056855242546,-1.0
France_1994,MAN,2,,37.9945,0.6709128952874758,
France_1994,MSC,3,1.0,36.403,0.7002444853446145,2.0
France_1994,ALE,4,,25.678,0.9927175013630345,
France_1994,BER,5,3.0,36.61475,0.696194839511399,2.0
France_1994,BER,5,,36.61475,0.696194839511399,
France_1994,BER,5,,36.61475,0.696194839511399,
France_1994,BAR,7,,29.56,0.8623477672530446,
France_1994,VER,8,,46.887,0.5436688207818798,
France_1994,HAK,9,,39.0285,0.65313809139475,
France_1994,FRE,10,4.0,43.1245,0.5911025055362961,6.0
France_1994,DEC,11,6.0,40.9035,0.6231985037955187,5.0
France_1994,BRU,12,,25.491,1.0,
France_1994,PAN,13,,27.709,0.9199538056227219,
France_1994,KAT,14,,39.6785,0.6424386002495054,
France_1994,BER,15,3.0,36.61475,0.696194839511399,12.0
France_1994,BER,15,,36.61475,0.696194839511399,
France_1994,BER,15,,36.61475,0.696194839511399,
France_1994,MAR,16,5.0,42.168,0.6045105293113261,11.0
France_1994,FIT,18,8.0,28.026,0.9095482766002997,10.0
France_1994,HER,19,7.0,41.4735,0.6146334406307642,12.0
France_1994,COM,20,11.0,37.985,0.6710806897459524,9.0
France_1994,ALB,21,,36.192,0.704326923076923,
France_1994,BRA,24,,30.11,0.8465958153437396,
France_1994,BER,25,3.0,36.61475,0.696194839511399,22.0
France_1994,BER,25,,36.61475,0.696194839511399,
France_1994,BER,25,,36.61475,0.696194839511399,
France_1994,GOU,26,9.0,52.387,0.4865901845877794,17.0
Great Britain_1994,HIL,1,1.0,38.997,0.991204451624484,0.0
Great Britain_1994,BER,3,13.0,41.888,0.922794117647059,-10.0
Great Britain_1994,BER,3,14.0,41.888,0.922794117647059,-11.0
Great Britain_1994,BER,3,,41.888,0.922794117647059,
Great Britain_1994,ALE,4,2.0,44.203,0.8744655340135286,2.0
Great Britain_1994,HAK,5,3.0,40.455,0.9554813990854036,2.0
Great Britain_1994,BAR,6,4.0,40.252,0.9603001093113386,2.0
Great Britain_1994,COU,7,5.0,40.234,0.9607297310732217,2.0
Great Britain_1994,KAT,8,6.0,40.842,0.9464276969786005,2.0
Great Britain_1994,VER,10,8.0,41.155,0.9392297412222088,2.0
Great Britain_1994,BLU,11,,40.72,0.9492632612966603,
Great Britain_1994,FRE,13,7.0,42.47,0.9101483400047093,6.0
Great Britain_1994,MAR,14,10.0,42.26,0.9146710837671558,4.0
Great Britain_1994,PAN,15,12.0,41.375,0.9342356495468279,3.0
Great Britain_1994,ALB,17,,46.32,0.8344991364421417,
Great Britain_1994,FIT,20,9.0,42.915,0.9007107072119307,11.0
Great Britain_1994,HER,21,11.0,42.741,0.9043775297723499,10.0
Great Britain_1994,BER,23,13.0,41.888,0.922794117647059,10.0
Great Britain_1994,BER,23,14.0,41.888,0.922794117647059,9.0
Great Britain_1994,BER,23,,41.888,0.922794117647059,
Great Britain_1994,BER,24,13.0,41.888,0.922794117647059,11.0
Great Britain_1994,BER,24,14.0,41.888,0.922794117647059,10.0
Great Britain_1994,BER,24,,41.888,0.922794117647059,
Great Britain_1994,BRA,25,15.0,45.298,0.8533268576979116,10.0
Great Britain_1994,GOU,26,16.0,48.323,0.799908946050535,10.0
Germany_1994,BER,1,1.0,33.1265,0.8738623156687244,0.0
Germany_1994,BER,1,3.0,33.1265,0.8738623156687244,-2.0
Germany_1994,BER,1,7.0,33.1265,0.8738623156687244,-6.0
Germany_1994,MSC,4,,30.019,0.9643225956893968,
Germany_1994,PAN,12,2.0,30.921,0.9361922318165649,10.0
Germany_1994,BRU,13,,28.948,1.0,
Germany_1994,BER,14,1.0,33.1265,0.8738623156687244,13.0
Germany_1994,BER,14,3.0,33.1265,0.8738623156687244,11.0
Germany_1994,BER,14,7.0,33.1265,0.8738623156687244,7.0
Germany_1994,MOR,16,5.0,33.08,0.8750906892382104,11.0
